country,type,access,model,sensor,platform,year,spec_band,min_band(nm),max_band(nm),publisher,technologies,object_class,dataset_name,n-gram
Egypt,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,MDPI,YOLOv8 modified,chickens,custom,"('ssr', 5), ('rice', 4), ('thermal', 4), ('detection', 3), ('infrared', 3)"
Turkey,conference,Pay Wall,CNN,HSI,ground,2020,,380,1000,IEEE,HSI,,-,"('hyperspectral', 3), ('used', 3), ('detection', 3), ('many', 2), ('images', 2)"
Italy,conference,Pay Wall,R-CNN,MSI,satellite,2022,,490,2190,IEEE,MSI,ship wake,custom,"('wake', 3), ('wakes', 3), ('ships', 2), ('detect', 2), ('mask', 2)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, NIR",ground,2022,,450,850,Elsevier,YOLOv4 modified,vegitation,custom,"('detection', 5), ('infrared', 3), ('propose', 2), ('method', 2), ('based', 2)"
Ireland,peer reviwed,Pay Wall,YOLOv5,LWIR,ground,2021,,8000,14000,IEEE,YOLOv5,"vehicles, humans","KAIST multispectral pedestrian
detection dataset, FLIR","('thermal', 5), ('data', 3), ('test', 3), ('inference', 3), ('systems', 2)"
Ireland,peer reviwed,Open Access,YOLOv5,LWIR,ground,2022,,8000,14000,IEEE,YOLOv5,"vehicles, humans, bicycle","KAIST multispectral pedestrian
detection dataset, FLIR","('frames', 4), ('thermal', 3), ('trained', 3), ('networks', 3), ('dataset', 3)"
United Kingdom,peer reviwed,Open Access,,"NDVI, CHL, ",multirotor,2020,,380,2500,MDPI,MSI,vegitation,-,"('sensors', 4), ('hcrf', 4), ('vegetation', 4), ('ndvi', 3), ('sequoia', 3)"
China,peer reviwed,Open Access,U-net,"RGB, MSI",satellite,2022,,443,2190,MDPI,"CVA, CRF, ",-,OSCD Dataset,"('multispectral', 5), ('change', 4), ('detection', 4), ('path', 4), ('field', 3)"
China,peer reviwed,Open Access,"YOLOv5, YOLOv7","RGB, NIR",multirotor,2023,,450,2500,MDPI,"YOLOv5, YOLOv7",vegitation,custom,"('cotton', 9), ('seedling', 9), ('stage', 3), ('detection', 3), ('counting', 3)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2024,,450,14000,IEEE,YOLOv5 modified,"vehicles, humans","KAIST multispectral pedestrian
detection dataset, FLIR, LLVIP","('pv', 8), ('modules', 5), ('hotspot', 4), ('faults', 2), ('detecting', 2)"
United States,peer reviwed,Open Access,YOLOv7,"RGB, LWIR",multirotor,2023,,450,1400,Nature,"RGB, LWIR",vehicles,custom,"detection', 7), ('rgb', 7), ('object', 6), ('performance', 5), ('lwir', 4)"
India,conference,Pay Wall,YOLOv3,"RGB, NIR",ground,2021,,750,12510,Springer,YOLOv3,COCO,custom,"('object', 4), ('spectrum', 4), ('nir', 4), ('images', 4), ('data', 4)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2024,,450,14000,Elsevier,YOLOv5 modified,tires,custom,"('detection', 8), ('accuracy', 6), ('human', 5), ('night', 5), ('rate', 5)"
Greece,peer reviwed,Pay Wall,Faster RCNN,"RGB, NIR",ground,2023,,370,1100,Elsevier,Faster RCNN,vegitation,custom,"('tomato', 4), ('cultivation', 2), ('output', 2), ('dataset', 2), ('images', 2)"
